"Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9655,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:10,07h 55m,05:05,3.1,INR 444,30 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4821,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:15,07h 15m,04:30,4.0,INR 517,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4996,INDRA(A.C. Seater),21:15,07h 00m,04:15,3.8,INR 567,36 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3618,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:25,08h 05m,05:30,4.5,INR 469,21 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3911,INDRA(A.C. Seater),21:30,06h 15m,03:45,4.1,INR 500,34 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4355,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,07h 45m,05:15,4.0,INR 469,17 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3944,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,07h 15m,04:45,3.8,INR 469,24 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4789,STAR LINER(NON-AC SLEEPER 2+1),21:30,07h 00m,04:30,4.8,INR 607,16 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4340,INDRA(A.C. Seater),21:30,07h 30m,05:00,3.3,INR 567,20 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4043,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,06h 55m,04:25,3.8,INR 480,12 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9652,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,07h 20m,04:50,3.9,INR 444,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3691,INDRA(A.C. Seater),21:30,07h 00m,04:30,4.3,INR 567,24 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3570,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),21:45,06h 04m,03:49,3.9,INR 683,38 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4815,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:45,06h 30m,04:15,4.6,INR 469,1 Seat available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3693,NIGHT RIDER (SEATER CUM SLEEPER),21:45,07h 15m,05:00,3.8,INR 639,16 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 49334,NIGHT RIDER (SEATER CUM SLEEPER),21:45,06h 45m,04:30,3.6,INR 639,24 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35136,INDRA(A.C. Seater),21:45,06h 15m,04:00,4.0,INR 539,31 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3695,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:55,07h 25m,05:20,3.8,INR 469,12 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9365,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:55,07h 05m,05:00,3.3,INR 446,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4791,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,07h 00m,05:00,4.3,INR 720,33 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3917,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:00,06h 45m,04:45,4.2,INR 444,20 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3952,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:00,07h 15m,05:15,4.1,INR 469,6 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35120,INDRA(A.C. Seater),22:00,07h 05m,05:05,3.9,INR 567,30 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3839,VENNELA (A.C. SLEEPER),22:10,06h 10m,04:20,3.5,INR 795,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3824,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:10,07h 00m,05:10,3.4,INR 469,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3582,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,06h 15m,04:30,4.3,INR 685,23 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4049,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:15,07h 20m,05:35,4.3,INR 480,17 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4371,INDRA(A.C. Seater),22:20,06h 55m,05:15,4.2,INR 567,19 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3560,INDRA(A.C. Seater),22:30,05h 15m,03:45,4.0,INR 567,21 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3568,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:30,06h 05m,04:35,4.0,INR 683,36 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 1445,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:30,07h 00m,05:30,4.2,INR 414,23 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3909,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:30,07h 05m,05:35,3.7,INR 480,24 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3557,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,06h 05m,04:35,3.2,INR 683,43 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9935,STAR LINER(NON-AC SLEEPER 2+1),22:30,06h 55m,05:25,3.9,INR 607,17 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3542,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:30,07h 20m,05:50,3.8,INR 444,23 Seats available"
