"Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available"
"Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,BTR Travels,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),20:00,06h 00m,02:00,1.8,INR 3300,33 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 47216,Express(Non AC Seater),21:00,05h 25m,02:25,3.8,INR 220,11 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 47006,Express(Non AC Seater),21:30,05h 00m,02:30,4.5,INR 217,41 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5457,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,04h 30m,02:00,4.4,INR 277,31 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5449,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,05h 45m,03:15,3.5,INR 277,28 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5672,Express(Non AC Seater),21:30,04h 40m,02:10,3.9,INR 186,39 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5394,""ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)"",22:00,04h 30m,02:30,4.1,INR 229,35 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 9887,Express(Non AC Seater),22:00,04h 30m,02:30,4.6,INR 186,26 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5447,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:10,04h 30m,02:40,4.2,INR 277,30 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 9008,Express(Non AC Seater),22:10,04h 50m,03:00,3.7,INR 215,31 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 47007,Express(Non AC Seater),22:15,05h 00m,03:15,4.6,INR 220,41 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 47239,Express(Non AC Seater),22:30,05h 30m,04:00,3.8,INR 220,45 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 47025,""ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)"",23:00,04h 25m,03:25,3.0,INR 229,16 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5445,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:15,04h 00m,03:15,4.8,INR 277,28 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,APSRTC - 5453,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:30,04h 30m,04:00,4.1,INR 277,31 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),19:35,04h 05m,23:40,3.4,333,8 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IRA Travels,A/C Sleeper (2+1),19:39,03h 41m,23:20,3.9,450,19 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,CHAITRA SRI TRAVELS,Non A/C Seater / Sleeper (2+1),19:40,04h 10m,23:50,3.5,495,29 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,CHAITRA SRI TRAVELS,NON A/C Sleeper (2+1),19:40,04h 10m,23:50,3.5,630,25 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:00,04h 05m,00:05,3.4,INR 600,12 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:10,03h 15m,23:25,3.5,INR 510,23 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,GKT TRAVELS,A/C Seater / Sleeper (2+1),22:15,04h 40m,02:55,4.1,359,29 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,RK Travels,Non A/C Seater / Sleeper (2+1),20:20,05h 30m,01:50,3.9,INR 399,24 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,VEGA BUS,A/C Seater / Sleeper (2+1),20:25,04h 45m,01:10,4.2,356,21 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Kamakshi Tours And Travels,A/C Sleeper (2+1),20:30,04h 15m,00:45,3.8,INR 600,20 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,RK Travels,Non A/C Seater / Sleeper (2+1),20:30,05h 30m,02:00,3.8,INR 399,27 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Rajeswari Travels,Non A/C Seater / Sleeper (2+1),23:30,03h 30m,03:00,3.2,INR 400,2 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,RK Travels,Non A/C Seater / Sleeper (2+1),20:30,05h 30m,02:00,3.8,INR 399,30 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:45,03h 00m,22:45,4.3,829,1 Seat available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Travola,Bharat Benz A/C Sleeper (2+1),20:35,05h 10m,01:45,3.2,INR 400,24 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,RK Travels,A/C Seater / Sleeper (2+1),21:00,05h 30m,02:30,3.5,INR 399,30 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Zingbus Plus,A/C Seater / Sleeper (2+1),21:55,03h 15m,01:10,4.3,354,34 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Sai Sindhu Travels,NON A/C Sleeper (2+1),23:15,03h 45m,03:00,3.1,360,19 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),21:00,04h 50m,01:50,3.3,INR 359,20 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Rajeswari Travels,A/C Sleeper (2+1),21:15,06h 20m,03:35,3.2,INR 599,16 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,RK Travels,A/C Seater / Sleeper (2+1),21:30,05h 30m,03:00,3.8,INR 399,31 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:00,03h 15m,01:15,3.2,INR 510,13 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Go Tour Travels and Holidays,A/C Sleeper (2+1),22:00,03h 45m,01:45,4.3,627,17 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IRA Travels,Bharat Benz A/C Sleeper (2+1),22:30,04h 00m,02:30,3.9,610,22 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,VEGA BUS,A/C Seater / Sleeper (2+1),22:30,04h 00m,02:30,4.2,371,24 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),23:00,05h 40m,04:40,3.6,332,13 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Chalasani Travels (Kaleswari),A/C Sleeper (2+1),19:35,03h 45m,23:20,4.3,720,18 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),23:45,04h 40m,04:25,4.0,380,3 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),23:50,04h 45m,04:35,4.6,332,14 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),21:00,04h 50m,01:50,2.3,INR 199,6 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Chalasani Travels (Kaleswari),A/C Sleeper (2+1),21:00,03h 10m,00:10,4.3,810,15 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bharathi Travels,Non A/C Seater / Sleeper (2+1),22:00,04h 10m,02:10,1.4,INR 380,25 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater/Sleeper (2+1),22:15,04h 40m,02:55,2.4,426,1 Seat available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Prasanna Travels,A/C Sleeper (2+1),20:15,02h 15m,22:30,3.1,INR 800,19 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Kamakshi Tours And Travels,A/C Sleeper (2+1),20:30,04h 15m,00:45,3.8,INR 700,16 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Rajeswari Travels,NON A/C Sleeper (2+1),21:10,06h 20m,03:30,3.2,2000,30 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IntrCity SmartBus,AC Sleeper (2+1),21:30,03h 05m,00:35,3.4,INR 765,13 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Rajesh Transports,A/C Sleeper (2+1),23:20,03h 25m,02:45,4.3,INR 975,31 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Rajesh Transports,A/C Volvo B11R Multi-Axle Sleeper (2+1),23:20,03h 25m,02:45,4.3,INR 1080,31 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Morning Star Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),19:40,02h 20m,22:00,2.3,INR 790,21 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,GOWTHAMI TOURS & TRAVELS,A/C Sleeper (2+1),19:40,03h 20m,23:00,2.3,INR 3999,36 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Morning Star Travels,A/C Sleeper (2+1),19:45,03h 15m,23:00,1.7,INR 790,6 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,HPD EXIM INDIA PRIVATE LIMITED,A/C Sleeper (2+1),20:00,26h 40m,22:40,2.3,INR 2599,28 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Morning Star Travels,Scania AC Multi Axle Sleeper (2+1),22:25,02h 45m,01:10,2.0,INR 790,11 Seats available"
"Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,KTC Travels,A/C Seater / Sleeper (2+1),22:30,04h 45m,03:15,0,INR 990,31 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,APSRTC - 6985,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:30,05h 00m,03:30,4.2,INR 340,2 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:10,03h 05m,01:15,4.6,INR 700,14 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),20:05,03h 35m,23:40,4.8,INR 800,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),21:45,03h 30m,01:15,3.9,925,14 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,OVR Travels,NON A/C Sleeper (2+1),23:40,05h 50m,05:30,3.3,INR 850,2 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,YAS TOURS AND TRAVELS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:00,03h 15m,01:15,3.6,INR 900,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Royal Rich India,Bharat Benz A/C Sleeper (2+1),20:10,03h 35m,23:45,4.7,750,8 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Dream Line Travels Pvt Ltd,VE A/C Sleeper (2+1),04:20,04h 55m,09:15,3.6,1156,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Orange Tours and Travels Platinum,Volvo Multi-Axle Sleeper A/C (2+1),23:00,03h 30m,02:30,3.2,1025,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,OVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 50m,05:30,2.5,INR 850,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:15,03h 15m,01:30,3.3,INR 900,3 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:35,03h 25m,03:00,2.5,INR 1000,7 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Delta Transports Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),00:10,03h 40m,03:50,4.4,1250,6 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),23:30,03h 00m,02:30,3.5,1525,2 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:45,03h 15m,03:00,3.3,INR 1000,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),22:00,04h 00m,02:00,3.3,INR 1299,2 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,ORM Tours and Travels,A/C Sleeper (2+1),23:30,06h 00m,05:30,3.3,INR 800,1 Seat available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),20:30,02h 50m,23:20,4.0,INR 500,12 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,BigBus,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,03h 40m,23:40,3.8,INR 950,19 Seats available"
"Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Dream Line Travels Pvt Ltd,VE A/C Sleeper (2+1),04:20,05h 40m,10:00,3.6,3145,2 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 51007,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",20:45,06h 15m,03:00,2.7,INR 344,29 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 5658,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",20:45,04h 30m,01:15,3.7,INR 344,33 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6531,Express(Non AC Seater),21:00,05h 00m,02:00,2.2,INR 265,47 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 53549,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:00,04h 15m,01:15,3.7,INR 344,27 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 66441,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:30,06h 00m,03:30,4.2,INR 344,19 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6833,INDRA(A.C. Seater),21:30,05h 50m,03:20,4.2,INR 416,12 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6423,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",21:45,06h 30m,04:15,4.0,INR 376,7 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6418,INDRA(A.C. Seater),22:00,05h 00m,03:00,2.8,INR 416,30 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 51603,INDRA(A.C. Seater),22:30,04h 00m,02:30,3.4,INR 416,37 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6538,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:45,04h 40m,03:25,3.1,INR 344,34 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6432,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",22:45,04h 15m,03:00,3.7,INR 344,27 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 51356,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:00,04h 00m,03:00,1.8,INR 344,34 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6469,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:15,04h 15m,03:30,3.1,INR 344,16 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6567,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:45,04h 10m,03:55,4.1,INR 344,30 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 51130,INDRA(A.C. Seater),23:45,03h 43m,03:28,3.8,INR 416,37 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 51059,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:50,04h 40m,04:30,4.4,INR 344,26 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6421,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",23:55,04h 15m,04:10,4.2,INR 344,19 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),20:30,0-3h 0-45m,17:45,4.8,INR 400,30 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),20:35,02h 59m,23:34,4.7,INR 400,1 Seat available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,SRI AVANI,Non A/C Seater / Sleeper (2+1),21:10,06h 20m,03:30,4.0,INR 400,22 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,INDHU BUS,Non A/C Seater / Sleeper (2+1),21:20,05h 30m,02:50,4.1,INR 399,10 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,KMR Travels,Non A/C Seater / Sleeper (2+1),21:30,04h 45m,02:15,3.2,INR 400,20 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Vasavi travels,Non A/C Seater / Sleeper (2+1),21:30,05h 45m,03:15,3.7,INR 399,13 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Indu Travels,Non A/C Seater / Sleeper (2+1),21:35,05h 25m,03:00,4.2,INR 400,16 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Zingbus Plus,A/C Sleeper (2+1),22:30,04h 10m,02:40,3.3,809,11 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,INDHU BUS,Non A/C Seater / Sleeper (2+1),21:40,05h 19m,02:59,4.7,INR 399,3 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Matangi Travels,Non A/C Seater / Sleeper (2+1),21:45,04h 45m,02:30,3.9,399,4 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Delta Transports Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:35,02h 55m,22:30,4.3,600,14 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Indu Travels,Non A/C Seater / Sleeper (2+1),21:45,05h 15m,03:00,4.6,INR 400,13 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Moksha Travels,A/C Sleeper (2+1),19:35,05h 15m,00:50,4.0,774,13 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Maheswari Travels,Non A/C Seater / Sleeper (2+1),21:50,04h 40m,02:30,4.7,INR 399,22 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Maheswari Travels,Non A/C Seater / Sleeper (2+1),21:55,04h 35m,02:30,3.6,INR 399,9 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,KNR TRAVELS,Non A/C Seater / Sleeper (2+1),22:00,05h 00m,03:00,4.5,INR 400,19 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,SBT,Non A/C Seater / Sleeper (2+1),22:00,05h 45m,03:45,3.0,INR 400,25 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,NS Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 15m,04:15,3.7,361,27 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Blue Travels,Non A/C Seater / Sleeper (2+1),22:00,05h 45m,03:45,4.5,INR 400,31 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Indu Travels,Non A/C Seater / Sleeper (2+1),22:00,05h 00m,03:00,3.6,INR 400,30 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Indu Travels,Non A/C Seater / Sleeper (2+1),22:00,04h 30m,02:30,3.6,INR 400,13 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Vasavi travels,Non A/C Seater / Sleeper (2+1),22:10,04h 20m,02:30,3.7,INR 399,17 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Amala Travels,Non A/C Seater / Sleeper (2+1),21:40,04h 50m,02:30,2.4,INR 398,18 Seats available"
"Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,AVM Tours And Travels,Non A/C Seater / Sleeper (2+1),19:33,06h 12m,01:45,3.4,636,1 Seat available"
